"Title:","Median Home Value - Middle Tier Homes from the Zillow Real Estate Metrics [Archive] Database"
"SubTitle:","Counties within State"
"Time:","04/1996 - 04/2019"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"02/2002",123900,205300,72400,53600,70100,61000,64400,54300,71900,129100,69900,71200,199800,90700,78800,51200,63400,80500,91200,60800,57000,281400,86500,78600,102300,58800,312700,"",78800,70700,88000,103300,176100,69400,63600,72600,272700,263300,105800,263300,325600,49100,133900,94300,72100,67000,60800,256600,88200,66700,98800,131800,105700,74100,87700,423800,74400,75200
"03/2002",124600,208700,72500,54000,70100,61100,64500,54700,72600,130600,69900,71900,202200,91100,79200,51900,63700,80500,91900,61200,57300,281800,86800,79000,102500,58900,316600,"",78900,70700,88200,104400,178400,69400,63700,73400,276200,263900,106900,265600,329300,49200,134700,95200,72800,66700,60600,260500,89700,67100,100000,134100,106400,74600,87700,425900,74500,74900
"04/2002",125300,212000,72700,54400,70400,61100,64700,55200,73300,132200,69900,72700,204800,91600,79600,52500,64100,80400,92600,61600,57600,281100,87200,79300,102800,59000,320500,"",79000,70800,88300,105400,180900,69600,63700,74200,279700,264300,108000,268000,333100,49100,135400,96200,73700,66600,60400,264800,91400,67500,101400,136300,107200,75200,87700,428100,74700,74700
"05/2002",126000,215200,72800,54700,70900,61300,64900,55700,74000,133800,70100,73600,207500,92000,80200,53100,64600,80400,93500,61900,57900,280200,87500,79400,103100,59200,324500,"",79100,71000,88500,106400,183400,69900,63700,75100,283200,265100,108900,270300,336900,49100,136100,97300,74600,66500,60200,269300,93200,67900,102900,138400,108000,75800,87600,430600,74800,74700
"06/2002",126700,218200,72900,55000,71500,61600,65100,56400,74600,135400,70300,74400,210400,92400,80900,53700,65100,80400,94400,62300,58200,279600,87900,79500,103500,59300,328500,"",79300,71100,88700,107200,186000,70400,63700,75900,286500,266000,109800,272800,340800,49100,136900,98500,75400,66500,60100,274100,95000,68300,104400,140400,108900,76500,87500,433700,75100,74700
"07/2002",127400,220600,73100,55300,72200,61900,65400,57200,75300,137000,70600,75300,213500,92700,81600,54300,65700,80600,95300,62700,58600,279900,88400,79400,104000,59600,332700,"",79600,71400,88800,108000,188600,71200,63900,76700,289900,266900,110500,275400,344800,49000,137700,99700,76300,66600,60000,279100,96800,68800,105900,142300,109900,77200,87600,437700,75300,74800
"08/2002",128100,222600,73300,55500,72900,62300,65700,58100,75900,138600,70900,76100,216700,93000,82400,54700,66300,80800,96300,63200,58900,281000,88900,79300,104500,59900,336900,"",79900,71700,89000,108500,191300,72000,64200,77400,293300,267700,111200,278100,348900,49000,138600,101000,77200,66800,60100,284200,98600,69200,107400,144000,111200,77900,87700,442600,75600,75200
"09/2002",129000,224200,73500,55800,73600,62800,66000,59100,76500,140100,71200,77000,220200,93300,83300,55200,66900,81000,97300,63600,59300,282900,89400,79300,105100,60100,341200,"",80200,72000,89300,109000,194100,72800,64600,78100,296800,268400,111800,281000,353100,49000,139700,102200,78000,67200,60200,289300,100300,69700,108800,145700,112500,78500,87900,448300,76000,75700
"10/2002",130000,225600,73800,56100,74200,63400,66500,60000,77200,141500,71400,77900,223900,93700,84300,55600,67400,81300,98500,64000,59500,285300,89900,79300,105600,60400,345700,"",80600,72400,89600,109300,197000,73600,65100,78700,300300,269500,112500,284100,357300,49200,140800,103500,78800,67600,60500,294200,101900,70100,110200,147400,114000,79100,88200,454800,76300,76200
"11/2002",131200,226900,74100,56400,74800,64100,67100,61100,77700,143100,71500,78900,228100,94000,85400,56000,67900,81800,99700,64500,59700,287900,90300,79500,106200,60700,350300,"",81000,72800,90000,109600,200000,74400,65600,79200,304100,271000,113100,287200,361700,49400,142000,104800,79700,68100,60900,299100,103700,70600,111700,149100,115600,79800,88700,462200,76600,76900
"12/2002",132600,228200,74400,56800,75400,64900,67800,62000,78300,144800,71600,79900,232400,94300,86600,56400,68400,82500,100900,65000,60000,290900,90700,79900,106800,61100,355000,"",81400,73300,90600,109700,203200,75000,66400,79700,307800,274100,113800,290500,366000,49700,143300,106100,80600,68700,61300,303800,105700,71100,113200,150900,117400,80400,89300,470200,76800,77800
"01/2003",134100,229600,74700,57300,76000,65600,68100,62900,78900,146400,71600,80900,236300,94600,87700,56700,68800,83200,102200,65500,60700,294700,91200,80600,107300,61500,359800,"",81900,73900,91200,109500,206400,75500,67300,80300,310800,280300,114700,293600,370000,50100,144500,107300,81400,69300,61700,308300,107100,71500,114300,153400,119300,81100,89900,477800,77100,78800
"02/2003",135500,230800,75000,57700,76500,66400,67800,63700,79600,148000,71700,81900,239600,94900,88900,57000,69200,83800,103500,66000,61700,299800,91700,81500,107800,62000,364300,"",82200,74500,91800,109200,209600,75900,68300,80900,312900,290200,115900,296800,373600,50500,145800,108500,82300,70000,62100,312700,108000,71900,114800,157000,121200,81800,90400,484600,77400,79800
"03/2003",136900,231700,75200,58100,76800,67000,67000,64600,80300,149700,71800,83000,242600,95200,90000,57200,69500,84200,104700,66400,62800,306300,92300,82300,108300,62600,368800,"",82700,75100,92400,109200,213000,76200,69000,81400,314700,301800,117000,300300,377000,51000,147500,109500,83200,70700,62600,317100,108900,72200,115000,161800,122900,82400,91000,491100,77700,80800
"04/2003",138300,232100,75400,58500,76800,67700,66200,65300,81000,151400,72000,84100,245400,95700,91100,57500,69800,84400,105700,66700,63800,313600,92900,83000,108800,63000,373200,"",83200,75700,93000,109400,216500,76300,69600,81800,316400,311600,118200,304000,380300,51600,149300,110500,84000,71300,63200,321500,109800,72500,115000,167100,124600,83100,91500,497200,77800,81700
"05/2003",139600,232300,75500,59000,76500,68400,65700,65800,81600,153200,72200,85200,248000,96400,92100,57800,70200,84400,106700,66800,64500,321000,93200,83500,109400,63500,377400,"",83600,76300,93500,109900,220300,76400,69800,82200,318300,317700,119500,307800,383600,52200,151100,111400,84700,71900,63900,325800,111100,72600,114900,172100,125900,83800,92000,502700,77900,82500
"06/2003",141000,232700,75600,59500,76100,69000,65400,65800,82000,155100,72800,86300,250500,97500,93200,58000,70600,84400,107800,66900,64800,327600,93300,84000,109900,63900,381400,"",84000,76900,94100,110900,224200,76600,69700,82600,320900,320900,121000,311600,386800,53000,153100,112300,85400,72400,64600,329800,112600,72700,115200,176400,127000,84600,92700,507500,78000,83000
"07/2003",142400,234300,75600,60100,76100,69500,65500,65400,82300,157400,73600,87600,253000,98800,94300,58300,71100,84300,109000,67000,64700,332400,92900,84400,110500,64400,385300,"",84300,77500,94700,112000,228100,76900,69400,83000,324100,323100,122500,315100,389800,53800,155300,113200,86000,73000,65000,333800,114400,72800,115800,180000,128000,85600,93300,511500,78200,83500
"08/2003",144100,237000,75600,60600,76800,70000,65700,64500,82400,159800,74500,89000,255400,100200,95400,58500,71800,84100,110400,67100,64200,335100,92200,84700,111100,64900,388900,"",84700,78200,95300,113100,231800,77200,69100,83600,327700,325400,124000,318200,392700,54700,157600,114300,86700,73700,65200,337600,115900,73100,117000,183000,128900,86800,93800,514300,78600,83900
"09/2003",146000,240200,75600,61000,77900,70200,66100,63500,82600,162500,75600,90400,257600,101500,96600,58800,72500,83900,112000,67300,63600,336300,91500,85100,111600,65500,392600,"",85200,78800,96000,114100,234900,77500,68500,84100,331600,328400,125500,320900,395400,55300,160200,115600,87500,74400,65100,341300,117000,73400,118600,185800,129900,88200,94100,516500,79200,84200
"10/2003",148200,243000,75700,61000,79000,70200,66600,62600,83000,165200,76700,91900,259800,102500,97700,58900,73300,83700,113700,67500,63200,337100,91100,85400,112000,66000,396200,"",85700,79400,96700,114900,237700,77600,67700,84600,335800,332200,126900,323400,398200,55600,162600,117200,88100,75200,64700,344900,117500,73600,120300,188400,131000,89500,94300,518100,79800,84600
"11/2003",150500,245200,75900,60900,79600,70000,67100,62300,83400,167800,77800,93500,262000,103200,98600,59000,74100,83600,115300,67600,63300,338000,91200,85700,112200,66500,399900,"",86200,80000,97400,115500,240000,77500,67000,85100,340000,336400,128100,325900,401100,55600,164900,118800,88600,75800,64300,348600,117500,73800,121900,190700,132100,90700,94200,519400,80200,84800
"12/2003",152800,247000,76100,60700,79800,69700,67700,62400,84000,170200,79000,95000,264300,103800,99500,59100,74900,83700,116900,67600,63800,339500,91800,85800,112500,66800,403700,"",86500,80700,97900,116100,242000,77300,66400,85400,344300,340800,129300,328600,404200,55400,166800,120200,89100,76300,64200,352000,117300,74000,123200,192600,133000,92000,94000,520700,80600,84900
"01/2004",154800,248800,76300,60700,79800,69500,68200,62800,84700,172600,80300,96500,266500,104200,100300,59200,75600,84000,118600,67600,64500,341300,92800,85900,112600,67200,407600,"",86700,81500,98400,116700,244000,77200,66100,85800,348600,345000,130300,331400,407400,55300,168500,121400,89800,76700,64200,355400,117500,74200,124500,194100,133700,93400,93900,522600,80900,85000
"02/2004",156400,250800,76600,60800,79800,69400,68700,63400,85400,175200,81500,98200,268900,104600,101100,59400,76400,84200,120400,67600,65200,343300,93800,86000,112900,67600,411400,"",86800,82300,98700,117100,246200,77300,66000,86300,352800,348600,131300,334400,410900,55500,170200,122500,90700,77000,64200,358800,118500,74500,125700,195100,134300,95000,93900,525300,81000,85100
"03/2004",157800,253100,77000,61100,80000,69500,69200,64100,86000,178000,82800,99900,271200,105000,102100,59700,77100,84400,122400,67700,66000,345400,94800,86000,113200,68100,415200,"",86800,83300,99100,117200,248500,77500,66200,87000,357000,352200,132400,337500,414600,55900,172000,123400,91700,77300,64200,362400,120300,74900,127100,196000,134900,96700,93900,528700,81200,85400
"04/2004",159100,255700,77500,61600,80600,69500,69700,64700,86700,180900,84000,101800,273600,105300,103300,60100,77600,84500,124500,68000,66900,348100,95700,86200,113600,68600,419000,"",86800,84200,99500,116900,251100,77500,66800,87900,361000,356500,133500,340700,418500,56400,173900,124300,93000,77800,64300,366300,122800,75400,128600,197300,136000,98400,94000,532600,81300,85800
"05/2004",160700,258400,78000,62300,81500,69600,70100,65300,87500,183900,84700,103600,276100,105500,104800,60500,77800,84700,126700,68500,67900,351700,96500,86400,114100,69400,423100,"",86900,85000,99900,116300,253700,77200,67700,89100,365100,362000,134800,343900,422800,57100,176100,125400,94400,78300,64300,370400,125900,76000,130200,199200,137600,99700,94200,536700,81400,86400
"06/2004",162600,261200,78600,63000,82700,69600,70400,66000,88200,187000,84500,105400,279100,105600,106400,61000,77800,85200,129000,69000,68900,356600,97300,86800,114400,70300,427600,"",87000,85700,100500,115500,256400,76000,68700,90300,369100,368300,136000,347400,427500,57800,178600,126800,95900,78800,64500,374700,129400,76600,131800,201800,139600,100300,94600,541600,81500,87100
"07/2004",164700,264000,79100,63700,83900,69600,70600,66800,89100,189900,83600,106900,282800,105600,108200,61600,77600,85700,131300,69600,70000,363300,98000,87400,114700,71200,432600,"",87200,86200,101100,114900,259200,74200,69300,91600,373200,375100,137400,351200,433000,58500,181400,128400,97400,79200,64700,379400,133000,77200,133300,205100,142000,100400,94800,547500,81500,87900
"08/2004",166700,267100,79600,64400,84700,69800,70700,67600,90000,192600,82400,108300,287200,105600,109900,62000,77600,86200,133600,70200,71400,371500,98700,88000,115000,72000,437700,"",87400,86700,101900,114800,262200,72200,69500,92700,377000,381800,138800,355000,438900,59100,184300,130100,98700,79400,64900,383900,136500,77700,134500,208700,144200,100100,95100,554300,81600,88500
"09/2004",168500,271000,80100,64900,85100,70000,70800,68600,90900,194900,81400,109400,291900,105800,111500,62600,78000,86500,136000,70800,72900,380800,99200,88600,115100,72900,442700,"",87600,87300,102800,115100,265400,70800,69600,93700,380700,388600,140300,359100,445100,59300,187100,132000,100000,79400,65100,388300,139700,78200,135600,212400,146300,99900,95300,562200,81700,89100
"10/2004",170100,275600,80500,65400,85600,70200,71000,69500,91700,197200,80800,110300,295900,106200,113000,63300,78800,86900,138300,71400,74500,390500,99600,89200,115300,73800,447400,"",87600,87900,103600,115700,269100,70400,69800,94800,384100,395500,142000,363400,451400,59200,189800,133900,101300,79200,65300,392500,142800,78700,136700,216300,148500,100100,95500,571000,81700,89500
"11/2004",171500,280400,81000,65800,86800,70600,71100,70400,92400,199500,80700,111000,298800,106800,114400,64000,79900,87700,140800,72000,76100,399600,99800,89700,115500,74700,451700,"",87700,88600,104500,116400,272800,70800,70400,95900,387300,402200,144100,368100,457500,59000,192400,135900,102800,79000,65500,396500,145700,79300,137800,220200,150800,100800,95700,580100,81700,90000
"12/2004",172800,285400,81400,66300,88700,71100,71200,71300,93000,202000,81000,111800,301100,107600,115900,64800,81400,88800,143500,72600,77600,408000,99800,90200,115900,75800,455800,"",87800,89200,105400,117100,276400,72100,71000,97300,390200,408300,146300,373200,463300,58700,194800,138000,104300,78800,65700,400700,148500,80100,138800,224200,153300,101800,95900,589100,81600,90500
"01/2005",174000,290100,81900,66600,90900,71600,71400,71900,93500,204600,81600,112600,303300,108400,117500,65600,82900,90100,146500,73300,78900,415600,99600,90500,116300,76900,459900,"",88100,89800,106400,117800,279600,73800,71700,98800,393100,413500,148400,378600,468900,58500,197200,140000,105700,78800,65900,405100,151600,80800,139900,228100,156000,103000,96300,597600,81500,91000
"02/2005",175300,294600,82500,66800,93000,72100,71700,72500,93900,207300,82200,113600,305800,109300,119000,66400,84500,91300,149600,73900,79900,422900,99500,90800,116800,78000,464000,"",88400,90100,107500,118500,282200,75700,72200,100300,395700,417600,150200,384000,473900,58400,199200,141900,107100,78900,66100,409300,154600,81700,140900,231600,158600,104200,96600,605200,81500,91700
"03/2005",176800,299200,83200,67000,94700,72500,72000,73000,94400,210000,82800,114700,308800,110200,120600,67300,86200,92200,152800,74600,80700,430700,99400,91300,117200,79300,468300,"",88700,90100,108700,119500,284300,77700,72600,101600,398500,421800,151700,389500,478500,58200,201200,143700,108400,79200,66200,413300,156900,82700,141900,234800,161100,105600,96900,612200,81700,92400
"04/2005",178400,303900,83900,67100,95600,73000,72200,73500,95000,212400,83500,116100,312300,111000,122200,68300,87800,93000,156100,75300,81400,439000,99500,91900,117600,80700,472800,"",89000,90100,109800,120900,286400,79600,73000,102400,401500,426700,153100,394900,482600,58100,203500,145500,109700,79400,66400,416900,158200,83700,142700,237700,163400,107000,97200,619000,81900,93100
"05/2005",180200,308800,84500,67100,95300,73400,72400,74300,95700,214400,84100,117600,315900,111900,123900,69200,89200,93700,159300,76000,82100,446900,99600,92700,117800,82200,476900,"",89300,90000,110700,122500,288400,81400,73300,102300,404700,432400,154400,399900,486100,58100,205900,147200,110900,79800,66700,420300,158100,84600,143500,240400,165500,108600,97500,625500,82200,93800
"06/2005",182100,314200,85200,67100,94000,73800,72600,75300,96400,216000,84700,118900,319600,112600,125400,70100,90400,94500,162500,76600,82800,454700,99900,93500,118000,83600,480600,"",89500,90000,111600,124100,290400,83000,73900,101700,408000,438700,155500,404700,489100,58000,208400,148900,112200,80200,67100,423500,156900,85500,144300,243000,167500,110300,97700,631700,82700,94400
"07/2005",184300,320000,85800,67100,92300,74000,72900,76600,97100,217400,85400,120200,322900,113200,126900,70900,91400,95400,165600,77100,83800,462700,100300,94500,118200,85000,483800,"",89700,90000,112400,125600,292500,84100,74700,101100,411100,445300,156600,409200,491900,58100,210900,150600,113600,80600,67600,426500,155500,86300,145100,245400,169600,112200,97900,637400,83400,95100
"08/2005",186400,325900,86500,67200,90700,74100,73300,77900,97700,219200,86200,121400,325700,113700,128100,71700,92000,96200,168600,77800,84900,470700,100700,95500,118500,86400,486700,"",89900,90000,113300,126700,294500,84800,75900,101300,413800,452000,157800,413500,494300,58300,213300,152200,115200,80900,68200,429400,154600,87000,145900,247500,171900,113900,98300,642200,84400,95600
"09/2005",188400,331800,87300,67400,89900,74100,73700,79100,98300,221700,86900,122700,328000,114200,129200,72400,92400,96700,171400,78500,86100,478400,101300,96500,118800,87800,489400,"",90100,90200,114100,127400,296500,84900,77200,102600,416100,458800,159000,417600,496200,58800,215600,153500,116800,81200,68800,432200,155400,87700,146600,249400,174400,115500,98800,645800,85500,96200
"10/2005",190000,337300,88000,67700,89800,74000,74000,80200,98900,224600,87500,123900,330100,114700,130000,73000,92600,96700,174100,79400,87100,485400,101800,97400,119200,89100,491900,"",90300,90700,114900,127800,298300,84600,78500,104700,417900,465600,160200,421300,497900,59500,217800,154700,118600,81500,69500,434900,158200,88300,147000,251100,177100,117100,99400,648400,86700,96700
"11/2005",191200,342700,88700,68000,90100,73900,74300,81100,99500,227600,88000,125100,332000,115300,130600,73500,92600,96100,176500,80300,88200,491400,102300,98200,119700,90300,494500,"",90600,91300,115700,128000,300100,83900,79500,107100,419000,472300,161400,424500,499200,60200,219900,155700,120300,81800,70100,437500,162700,88900,147300,252300,179800,118500,100000,650100,88100,97200
"12/2005",192400,347900,89400,68400,90700,73900,74500,81800,100100,229700,88400,126200,333800,115800,131100,73900,92500,94800,178600,81100,89100,496400,102700,98800,120100,91500,496900,894000,90800,91900,116300,128200,301700,82900,80000,109600,419400,478400,162600,427100,500700,60700,222100,156700,121800,82100,70600,440000,167800,89400,147700,253100,182500,119600,100300,651400,89500,97700
"01/2006",193500,352200,90000,68700,91500,74100,74800,82500,100800,230700,88700,127300,335600,116400,131600,74300,92400,93500,180200,82000,89900,500100,103100,99400,120400,92500,499200,904000,91000,92600,116900,128400,303200,81800,80400,111900,419300,483400,163900,429300,502300,61100,224400,157900,123100,82400,71100,442300,172400,89900,148300,253400,184800,120400,100400,652700,91100,98100
"02/2006",194700,355600,90500,69000,92400,74200,75100,83300,101400,230700,88800,128300,337400,116800,132100,74600,92200,93000,181400,82800,90700,502300,103300,99800,120700,93300,501000,911800,91100,93300,117400,128700,304200,80600,80600,113900,418600,486800,165100,431100,503800,61300,226600,159200,124200,82700,71700,444200,175400,90300,149200,253300,186900,120800,100600,653800,92600,98400
"03/2006",196200,358800,91200,69200,93300,74400,75600,84100,102000,230400,88900,129300,339000,117200,132500,74800,92200,93800,182200,83500,91500,504000,103600,100200,120900,94200,502500,917400,91100,94000,117900,129000,305000,79600,80900,116000,417600,489600,166300,432500,505300,61500,228700,160700,125300,83000,72100,445900,177400,90700,150300,252900,188700,121000,100700,654700,94100,98700
"04/2006",197900,361800,91900,69500,94400,74700,76000,85100,102400,230100,89000,130300,340100,117500,133200,75000,92300,95300,182700,84100,92300,506300,103800,100600,121100,95000,503700,921200,91200,94700,118600,129200,305400,78700,81400,118200,416900,493000,167600,433600,506200,61600,230600,162200,126400,83300,72500,447300,178700,91200,151400,252400,190200,121100,100800,654900,95400,99100
"05/2006",199400,364600,92600,69600,95600,74800,76400,85800,102600,230200,89100,131200,340600,117700,133900,75100,92600,96500,182900,84700,93200,509000,104100,101100,121300,95800,504500,922800,91200,95500,119300,129300,305700,78200,81900,120600,416100,496900,168900,434400,506400,61800,232200,163800,127400,83500,72800,448000,179600,91800,152400,251800,191400,121300,101100,654400,96200,99500
"06/2006",200700,367500,93500,69600,96800,74900,76800,86200,102700,230400,89500,131800,340400,118100,134500,75200,93100,96700,182900,85400,94300,511600,104400,101400,121400,96600,504900,921200,91400,96300,120000,129400,306000,78100,82400,123200,414700,500900,170400,434700,505900,62100,233500,165200,128300,83700,72900,447800,180100,92300,153100,251000,192400,121700,101400,653000,95900,100000
"07/2006",201700,370400,94500,69600,97800,74900,77200,86400,102800,230400,90000,132300,339800,118500,135300,75400,93900,96300,182900,86000,95500,514500,104900,101800,121500,97400,504900,915300,91600,97200,120600,129400,306300,78300,82700,125400,412800,504300,172000,434700,504800,62400,234600,166400,129200,83900,73000,447000,180500,92900,153600,250200,193300,122500,101700,651200,94200,100700
"08/2006",202500,372800,95500,69600,98400,74900,77500,86200,103000,229900,90700,132600,338600,118900,136200,75800,94900,96400,183000,86300,96800,517100,105400,102100,121500,98100,504500,905600,91900,98100,121200,129600,306700,78700,82700,126900,410700,506300,173600,434600,503400,62800,235500,167300,130100,84400,73100,445500,181100,93400,154000,249500,194100,123600,101900,649600,91300,101400
"09/2006",203100,374900,96400,69600,98700,75100,77800,85800,103300,229200,91400,132800,337400,119200,137300,76200,95900,97700,183000,86200,98300,518700,106000,102400,121600,98800,503800,895600,92200,98900,121700,129700,307100,79300,82500,127400,408900,506300,175000,434500,502000,63200,236100,168000,130800,84900,73400,443900,181900,94200,154300,249100,194800,125000,102000,648600,88400,102300
"10/2006",203800,377000,97300,69700,98800,75400,78100,85500,103600,228400,92000,132800,336200,119600,138500,76700,96900,99400,182900,85700,99600,519000,106700,102600,121700,99500,502800,889900,92500,99600,122100,130000,307200,80000,82300,127100,407300,504100,176100,434400,500500,63600,236600,168600,131400,85500,73800,442000,182800,94900,154600,248900,195100,126400,102200,647500,86200,103300
"11/2006",204600,379800,98000,69900,98600,75600,78300,85200,103900,227600,92500,132600,334900,119900,139700,77200,98000,100400,182600,85300,100800,518400,107300,102900,121800,100200,501400,890800,92900,100100,122500,130200,307200,80700,82100,126400,406000,500800,176900,434200,498800,64200,237200,169000,131900,86200,74300,439800,183200,95600,155000,248900,194900,127700,102400,645700,85100,104500
"12/2006",205500,383000,98700,70000,98200,75800,78400,85000,104200,227200,92900,132600,333400,120000,140800,77700,99200,100200,182100,85100,101900,517800,107800,103400,122000,100900,500000,897500,93200,100400,122800,130400,307000,81400,82200,125600,405200,497900,177500,433900,497000,64900,238100,169200,132500,86800,74800,437600,183500,96300,155300,249200,194800,128900,102600,643100,84900,105700
"01/2007",206400,385500,99300,70000,97800,75800,78400,85000,104400,227300,93400,132800,331800,120200,142200,78200,100300,99100,181700,85300,102900,517700,108100,103800,122200,101500,498600,907100,93500,100700,123100,130500,306700,82000,82300,124900,404800,496400,177800,433500,495200,65700,239200,169400,133100,87400,75200,436000,183500,96900,155600,249500,195000,130000,102700,640500,85300,106900
"02/2007",207100,387200,99800,69900,97400,75700,78400,85100,104500,228000,94100,132900,330100,120300,143300,78800,101400,97800,181700,85800,104000,517700,108300,104300,122300,101900,497200,917500,93800,101000,123400,130600,306400,82400,82600,124100,404600,496200,178000,433000,493400,66500,240100,169400,133500,88000,75600,434600,182300,97600,155900,249700,195400,130800,102900,637800,86000,108000
"03/2007",207600,389300,100200,69600,97100,75500,78500,85300,104800,229200,94800,133200,328500,120400,144100,79400,102400,96600,182700,86500,105100,518600,108400,104600,122500,102000,495900,927700,94000,101600,123700,130600,306400,82800,83000,123500,404600,497200,178100,432500,491600,67100,240900,169300,133900,88500,75900,432900,180200,98200,156200,250000,195800,131500,103000,635500,86900,108900
"04/2007",207800,391400,100500,69300,97100,75300,78600,85600,105100,230200,95700,133600,327000,120400,144600,79900,103500,95800,184600,87100,106200,520300,108300,104800,122500,102000,494700,937000,94200,102300,123800,130900,306700,83000,83300,123200,404900,499100,177900,431900,490000,67400,241500,169200,134300,88900,76300,431000,178600,99000,156600,250200,196600,132100,103100,634200,88100,109700
"05/2007",207600,392800,101000,69000,97300,75100,78700,85900,105400,231200,96400,133700,325900,120500,144700,80000,104400,95500,186600,87700,107400,521300,108200,105100,122600,101900,493100,944500,94500,103100,123800,131300,306600,83400,83700,123100,404900,500400,177400,430900,488400,67500,241800,168900,134400,89100,76900,429000,178200,99600,157100,250200,197700,132800,103300,633600,89800,110300
"06/2007",207300,393200,101600,68800,97600,75000,78900,86200,105900,232100,97100,133600,325000,120500,144000,79900,104800,95600,187900,88000,108600,520700,108200,105300,122800,101600,491000,951900,94900,103800,123800,131700,305900,83900,84000,123000,404400,500400,176700,429400,486800,67400,241700,168700,134300,89200,77500,426700,178500,99900,157600,249700,199100,133400,103600,633100,92200,111000
"07/2007",207000,392400,102300,68600,98100,75000,79000,86400,106400,233000,97600,133900,324000,120500,142900,79900,105200,95900,188400,88200,110000,519500,108200,105700,123000,101200,488400,961900,95300,104400,123700,132200,304900,84600,84400,123300,403200,499600,176000,427600,485300,67100,241400,168500,134200,89100,78300,424700,179100,99900,158100,248900,200500,133900,104000,632000,95300,111600
"08/2007",206700,390600,103000,68600,98400,75100,78900,86600,106800,233800,98000,134400,322700,120500,141500,80000,105400,96000,188200,88100,111300,517800,108400,106200,123100,100700,485800,976000,95500,104800,123700,132700,303500,85400,84700,123900,401600,498700,175600,425800,483700,66800,240900,168300,134100,89100,79100,422700,179700,100000,158600,248100,201800,134400,104500,630400,98500,112200
"09/2007",206300,388300,103900,68600,98700,75100,78600,87000,107200,234300,98200,135300,321100,120400,140300,80200,105300,95700,187700,88000,112500,515600,108600,106800,123300,100600,483300,993000,95600,104900,123700,133100,301900,85900,85100,124600,399500,497900,175400,423900,481800,66500,240300,167900,134000,89100,79700,420900,179900,100100,158900,247100,202500,134500,104900,628300,101000,112900
"10/2007",205800,385600,104900,68700,98900,75200,78200,87400,107600,234000,98200,136300,319500,120300,139300,80500,105100,95200,187100,87800,113400,513000,108700,107300,123300,100600,480900,1009700,95500,104900,123700,133600,300400,86200,85500,125400,396800,497200,175200,422200,479400,66300,239600,167400,133900,89200,80100,419100,179500,100100,159200,246000,202600,134300,105300,625600,102400,113600
"11/2007",205100,383300,105800,68900,99100,75300,77800,87600,107900,233100,98100,137100,318000,120300,138900,80900,104700,94700,186300,87500,114200,510900,108800,107800,123300,100900,478400,1022800,95400,105000,123600,134000,298800,86200,85700,126100,393500,496700,175200,420500,476400,66200,238500,166700,133800,89400,80200,416900,178300,100100,159400,244500,202000,133900,105600,622400,102800,114200
"12/2007",204400,381100,106600,69000,99100,75200,77500,87900,108000,231300,98100,137700,316500,120300,139000,81100,104300,94500,185500,87100,114700,510200,108800,108300,123300,101400,475900,1030600,95200,105100,123500,134500,297100,86100,85700,127000,390500,495800,175100,418500,473000,66200,237000,165900,133600,89600,80100,414400,176900,100000,159500,242800,201000,133300,106000,619200,102300,114800
"01/2008",203800,377900,107200,69100,99200,75100,77500,88300,108100,229600,98100,138000,314700,120400,139900,81400,103700,94500,184600,86800,115000,511500,108800,108800,123300,101800,472900,1033800,95000,105200,123400,134900,295100,85700,85500,127800,388100,493800,175100,416200,469700,66300,235100,165400,133300,89600,79800,412000,175800,99900,159500,240700,199900,132800,106400,616300,101300,115300
"02/2008",203500,373700,107700,69300,99300,74800,77800,88400,108100,228200,98100,137800,312600,120500,140600,81700,103000,94500,183900,86400,115300,513300,108800,109200,123300,101800,469600,1033200,94800,105200,123100,135300,292900,85300,85400,128300,386200,490400,175100,414100,467000,66600,232900,165100,132600,89500,79500,409200,174600,99700,159700,238600,198500,132300,106800,613400,99800,115500
"03/2008",203400,370300,108200,69600,99600,74600,78200,88300,108100,227100,98000,137900,310300,120700,141000,82000,102600,94600,183500,85800,115500,515800,108900,109700,123300,101800,466400,1029700,94700,105100,122700,135600,290700,84700,85100,128900,385000,486300,175300,412200,464700,66800,231100,164800,132000,89300,79300,405900,173300,99600,159800,236700,196600,132200,106900,610100,98200,115400
"04/2008",203300,367400,108500,70000,100000,74400,78800,88200,108000,225900,97700,137800,307600,121000,141500,82200,102400,94500,183400,85300,115600,518700,108900,110300,123400,101600,463400,1024200,94600,104800,122400,135700,288500,84000,84800,129600,384300,481600,175400,410500,462300,66800,229800,164600,131200,88900,79000,401900,172600,99700,159800,234900,194600,132300,106700,606800,96500,115100
"05/2008",203000,364500,108800,70300,100600,74300,79200,88100,107800,224600,97500,137000,304900,121100,141800,81800,102000,94500,183300,84800,115600,519500,109000,110600,123400,101400,459700,1017500,94500,104200,122200,135600,286100,83500,84600,129900,383000,476000,175700,408600,459400,66800,229200,164300,130400,88400,78700,397700,172500,99900,159600,232800,192900,132600,106000,603200,94800,114600
